k,f1
0.000000,0.266107
0.000000,0.266107
0.000000,0.266107
0.000000,0.266107
1.000000,0.816804
1.000000,0.816804
1.000000,0.816804
2.000000,0.816804
2.000000,0.816804
2.000000,0.816804
3.000000,0.833798
3.000000,0.833798
3.000000,0.833798
4.000000,0.845908
4.000000,0.845908
4.000000,0.845908
5.000000,0.854558
5.000000,0.854558
5.000000,0.854558
6.000000,0.860892
6.000000,0.860892
6.000000,0.860892
7.000000,0.866537
7.000000,0.866537
7.000000,0.866537
8.000000,0.872727
8.000000,0.872727
8.000000,0.872727
9.000000,0.878817
9.000000,0.878817
9.000000,0.878817
10.000000,0.885612
10.000000,0.885612
10.000000,0.885612
11.000000,0.882238
11.000000,0.882238
11.000000,0.882238
12.000000,0.882238
12.000000,0.882238
12.000000,0.882238
13.000000,0.885443
13.000000,0.885443
13.000000,0.885443
13.000000,0.885443
14.000000,0.882179
14.000000,0.882179
14.000000,0.882179
15.000000,0.881957
15.000000,0.881957
15.000000,0.881957
16.000000,0.878752
16.000000,0.878752
16.000000,0.878752
17.000000,0.878474
17.000000,0.878474
17.000000,0.878474
18.000000,0.878474
18.000000,0.878474
18.000000,0.878474
19.000000,0.875566
19.000000,0.875566
19.000000,0.875566
20.000000,0.875566
20.000000,0.875566
20.000000,0.875566
21.000000,0.875566
21.000000,0.875566
21.000000,0.875566
22.000000,0.872306
22.000000,0.872306
22.000000,0.872306
23.000000,0.872306
23.000000,0.872306
23.000000,0.872306
24.000000,0.872306
24.000000,0.872306
24.000000,0.872306
25.000000,0.872306
25.000000,0.872306
25.000000,0.872306
26.000000,0.872306
26.000000,0.872306
26.000000,0.872306
26.000000,0.872306
27.000000,0.869406
27.000000,0.869406
27.000000,0.869406
28.000000,0.869406
28.000000,0.869406
28.000000,0.869406
29.000000,0.866510
29.000000,0.866510
29.000000,0.866510
30.000000,0.863161
30.000000,0.863161
30.000000,0.863161
31.000000,0.863161
31.000000,0.863161
31.000000,0.863161
32.000000,0.863161
32.000000,0.863161
32.000000,0.863161
33.000000,0.863161
33.000000,0.863161
33.000000,0.863161
34.000000,0.863161
34.000000,0.863161
34.000000,0.863161
35.000000,0.863161
35.000000,0.863161
35.000000,0.863161
36.000000,0.863161
36.000000,0.863161
36.000000,0.863161
37.000000,0.863161
37.000000,0.863161
37.000000,0.863161
38.000000,0.863161
38.000000,0.863161
38.000000,0.863161
39.000000,0.863161
39.000000,0.863161
39.000000,0.863161
39.000000,0.863161
40.000000,0.863161
40.000000,0.863161
40.000000,0.863161
41.000000,0.863161
41.000000,0.863161
41.000000,0.863161
42.000000,0.863161
42.000000,0.863161
42.000000,0.863161
43.000000,0.863161
43.000000,0.863161
43.000000,0.863161
44.000000,0.863161
44.000000,0.863161
44.000000,0.863161
45.000000,0.863161
45.000000,0.863161
45.000000,0.863161
46.000000,0.863161
46.000000,0.863161
46.000000,0.863161
47.000000,0.863161
47.000000,0.863161
47.000000,0.863161
48.000000,0.859811
48.000000,0.859811
48.000000,0.859811
49.000000,0.859811
49.000000,0.859811
49.000000,0.859811
50.000000,0.859811
50.000000,0.859811
50.000000,0.859811
51.000000,0.856361
51.000000,0.856361
51.000000,0.856361
52.000000,0.856361
52.000000,0.856361
52.000000,0.856361
52.000000,0.856361
53.000000,0.852996
53.000000,0.852996
53.000000,0.852996
54.000000,0.852996
54.000000,0.852996
54.000000,0.852996
55.000000,0.849432
55.000000,0.849432
55.000000,0.849432
56.000000,0.849432
56.000000,0.849432
56.000000,0.849432
57.000000,0.849432
57.000000,0.849432
57.000000,0.849432
58.000000,0.849432
58.000000,0.849432
58.000000,0.849432
59.000000,0.845742
59.000000,0.845742
59.000000,0.845742
60.000000,0.845742
60.000000,0.845742
60.000000,0.845742
61.000000,0.841909
61.000000,0.841909
61.000000,0.841909
62.000000,0.844856
62.000000,0.844856
62.000000,0.844856
63.000000,0.844856
63.000000,0.844856
63.000000,0.844856
64.000000,0.844856
64.000000,0.844856
64.000000,0.844856
65.000000,0.841472
65.000000,0.841472
65.000000,0.841472
65.000000,0.841472
66.000000,0.844402
66.000000,0.844402
66.000000,0.844402
67.000000,0.844402
67.000000,0.844402
67.000000,0.844402
68.000000,0.844402
68.000000,0.844402
68.000000,0.844402
69.000000,0.836953
69.000000,0.836953
69.000000,0.836953
70.000000,0.836953
70.000000,0.836953
70.000000,0.836953
71.000000,0.840975
71.000000,0.840975
71.000000,0.840975
72.000000,0.839920
72.000000,0.839920
72.000000,0.839920
73.000000,0.835116
73.000000,0.835116
73.000000,0.835116
74.000000,0.840949
74.000000,0.840949
74.000000,0.840949
75.000000,0.832901
75.000000,0.832901
75.000000,0.832901
76.000000,0.829140
76.000000,0.829140
76.000000,0.829140
77.000000,0.832022
77.000000,0.832022
77.000000,0.832022
78.000000,0.823568
78.000000,0.823568
78.000000,0.823568
78.000000,0.823568
79.000000,0.819618
79.000000,0.819618
79.000000,0.819618
80.000000,0.809921
80.000000,0.809921
80.000000,0.809921
81.000000,0.801017
81.000000,0.801017
81.000000,0.801017
82.000000,0.801017
82.000000,0.801017
82.000000,0.801017
83.000000,0.791530
83.000000,0.791530
83.000000,0.791530
84.000000,0.786751
84.000000,0.786751
84.000000,0.786751
85.000000,0.786751
85.000000,0.786751
85.000000,0.786751
86.000000,0.786751
86.000000,0.786751
86.000000,0.786751
87.000000,0.786751
87.000000,0.786751
87.000000,0.786751
88.000000,0.776738
88.000000,0.776738
88.000000,0.776738
89.000000,0.766339
89.000000,0.766339
89.000000,0.766339
90.000000,0.766339
90.000000,0.766339
90.000000,0.766339
91.000000,0.766339
91.000000,0.766339
91.000000,0.766339
91.000000,0.766339
92.000000,0.766339
92.000000,0.766339
92.000000,0.766339
93.000000,0.766339
93.000000,0.766339
93.000000,0.766339
94.000000,0.768598
94.000000,0.768598
94.000000,0.768598
95.000000,0.759959
95.000000,0.759959
95.000000,0.759959
96.000000,0.759959
96.000000,0.759959
96.000000,0.759959
97.000000,0.754481
97.000000,0.754481
97.000000,0.754481
98.000000,0.754481
98.000000,0.754481
98.000000,0.754481
99.000000,0.754481
99.000000,0.754481
99.000000,0.754481
100.000000,0.754481
100.000000,0.754481
100.000000,0.754481
101.000000,0.748243
