h,f1
0.000000,0.266107
0.001000,0.816804
0.002000,0.816804
0.003000,0.816804
0.004000,0.822666
0.005000,0.822666
0.006000,0.822666
0.007000,0.825543
0.008000,0.825425
0.009000,0.825425
0.010000,0.825425
0.011000,0.825425
0.012000,0.825425
0.013000,0.825425
0.014000,0.825425
0.015000,0.825425
0.016000,0.828188
0.017000,0.833910
0.018000,0.836632
0.019000,0.840067
0.020000,0.839352
0.021000,0.845558
0.022000,0.848333
0.023000,0.848333
0.024000,0.848333
0.025000,0.854923
0.026000,0.867515
0.027000,0.870313
0.028000,0.870313
0.029000,0.870313
0.030000,0.869785
0.031000,0.869785
0.032000,0.872993
0.033000,0.872993
0.034000,0.872437
0.035000,0.872437
0.036000,0.872437
0.037000,0.875889
0.038000,0.875889
0.039000,0.879292
0.040000,0.882651
0.041000,0.882651
0.042000,0.879292
0.043000,0.882095
0.044000,0.882095
0.045000,0.878855
0.046000,0.878855
0.047000,0.878855
0.048000,0.878855
0.049000,0.878855
0.050000,0.878855
0.051000,0.875456
0.052000,0.875456
0.053000,0.875456
0.054000,0.875456
0.055000,0.875456
0.056000,0.875456
0.057000,0.875456
0.058000,0.875456
0.059000,0.875456
0.060000,0.875456
0.061000,0.875456
0.062000,0.875456
0.063000,0.872315
0.064000,0.872315
0.065000,0.872315
0.066000,0.869037
0.067000,0.869037
0.068000,0.869037
0.069000,0.865624
0.070000,0.865624
0.071000,0.865624
0.072000,0.865624
0.073000,0.865624
0.074000,0.868483
0.075000,0.868483
0.076000,0.868483
0.077000,0.868483
0.078000,0.868483
0.079000,0.868483
0.080000,0.868483
0.081000,0.868483
0.082000,0.868483
0.083000,0.868483
0.084000,0.864999
0.085000,0.864606
0.086000,0.861355
0.087000,0.861355
0.088000,0.861355
0.089000,0.861355
0.090000,0.861355
0.091000,0.861355
0.092000,0.861355
0.093000,0.861355
0.094000,0.861355
0.095000,0.854696
0.096000,0.853920
0.097000,0.850365
0.098000,0.853241
0.099000,0.853241
0.100000,0.853241
0.101000,0.853241
0.102000,0.846932
0.103000,0.849786
0.104000,0.849786
0.105000,0.846101
0.106000,0.846101
0.107000,0.835230
0.108000,0.835230
0.109000,0.832117
0.110000,0.832117
0.111000,0.832117
0.112000,0.832117
0.113000,0.832117
0.114000,0.832117
0.115000,0.832117
0.116000,0.832117
0.117000,0.832117
0.118000,0.832117
0.119000,0.828385
0.120000,0.824581
0.121000,0.824581
0.122000,0.820391
0.123000,0.815964
0.124000,0.815964
0.125000,0.811654
0.126000,0.808505
0.127000,0.800341
0.128000,0.800341
0.129000,0.795839
0.130000,0.795839
0.131000,0.795839
0.132000,0.795839
0.133000,0.792668
0.134000,0.788437
0.135000,0.788437
0.136000,0.782005
0.137000,0.777666
0.138000,0.773212
0.139000,0.768634
0.140000,0.768634
0.141000,0.763923
0.142000,0.754321
0.143000,0.754321
0.144000,0.754321
0.145000,0.754321
0.146000,0.749316
0.147000,0.749316
0.148000,0.744331
0.149000,0.744331
0.150000,0.744296
0.151000,0.739127
0.152000,0.739127
0.153000,0.739127
0.154000,0.733782
0.155000,0.728247
0.156000,0.722509
0.157000,0.722509
0.158000,0.722507
0.159000,0.722507
0.160000,0.719260
0.161000,0.716287
0.162000,0.716287
0.163000,0.709307
0.164000,0.706006
0.165000,0.706006
0.166000,0.706006
0.167000,0.706006
0.168000,0.699950
0.169000,0.699950
0.170000,0.699995
0.171000,0.699995
0.172000,0.699995
0.173000,0.693274
0.174000,0.693274
0.175000,0.693274
0.176000,0.684021
0.177000,0.678717
0.178000,0.669692
0.179000,0.671460
0.180000,0.665460
0.181000,0.665460
0.182000,0.662062
0.183000,0.661872
0.184000,0.653697
0.185000,0.653697
0.186000,0.651930
0.187000,0.649075
0.188000,0.642123
0.189000,0.641977
0.190000,0.641977
0.191000,0.641977
0.192000,0.641977
0.193000,0.641993
0.194000,0.638468
0.195000,0.638468
0.196000,0.634894
0.197000,0.628429
0.198000,0.628429
0.199000,0.628429
0.200000,0.630185
0.201000,0.630213
0.202000,0.619978
0.203000,0.619978
0.204000,0.616189
0.205000,0.618752
0.206000,0.614917
0.207000,0.614917
0.208000,0.610963
0.209000,0.610963
0.210000,0.606939
0.211000,0.606939
0.212000,0.606939
0.213000,0.606939
0.214000,0.604138
0.215000,0.604138
0.216000,0.604138
0.217000,0.604138
0.218000,0.600049
0.219000,0.597238
0.220000,0.597238
0.221000,0.593079
0.222000,0.593079
0.223000,0.593079
0.224000,0.593079
0.225000,0.590259
0.226000,0.590259
0.227000,0.590259
0.228000,0.590259
0.229000,0.581714
0.230000,0.581714
0.231000,0.572827
0.232000,0.572827
0.233000,0.572827
0.234000,0.572822
0.235000,0.572822
0.236000,0.572822
0.237000,0.572822
0.238000,0.563421
0.239000,0.563421
0.240000,0.563421
0.241000,0.563421
