h,f1
0.000000,0.089760
0.001000,0.089760
0.002000,0.089760
0.003000,0.089760
0.004000,0.089760
0.005000,0.089760
0.006000,0.089760
0.007000,0.089760
0.008000,0.089760
0.009000,0.089760
0.010000,0.089760
0.011000,0.089760
0.012000,0.089760
0.013000,0.089760
0.014000,0.089760
0.015000,0.089760
0.016000,0.089760
0.017000,0.089760
0.018000,0.089760
0.019000,0.089760
0.020000,0.089760
0.021000,0.089760
0.022000,0.089760
0.023000,0.089760
0.024000,0.089760
0.025000,0.102270
0.026000,0.102270
0.027000,0.102270
0.028000,0.102270
0.029000,0.102270
0.030000,0.102270
0.031000,0.102270
0.032000,0.102270
0.033000,0.102270
0.034000,0.102270
0.035000,0.102270
0.036000,0.102270
0.037000,0.102270
0.038000,0.102270
0.039000,0.102270
0.040000,0.102270
0.041000,0.114457
0.042000,0.114457
0.043000,0.114457
0.044000,0.132158
0.045000,0.143592
0.046000,0.143592
0.047000,0.154745
0.048000,0.166996
0.049000,0.166996
0.050000,0.172474
0.051000,0.177885
0.052000,0.188516
0.053000,0.203998
0.054000,0.214024
0.055000,0.223824
0.056000,0.228642
0.057000,0.228642
0.058000,0.237648
0.059000,0.254389
0.060000,0.263203
0.061000,0.270810
0.062000,0.290386
0.063000,0.301967
0.064000,0.309996
0.065000,0.309996
0.066000,0.325508
0.067000,0.337167
0.068000,0.340982
0.069000,0.355897
0.070000,0.355897
0.071000,0.359542
0.072000,0.358185
0.073000,0.378237
0.074000,0.376877
0.075000,0.385143
0.076000,0.405920
0.077000,0.406979
0.078000,0.426962
0.079000,0.439403
0.080000,0.459069
0.081000,0.467268
0.082000,0.483549
0.083000,0.490556
0.084000,0.503304
0.085000,0.507330
0.086000,0.510603
0.087000,0.523016
0.088000,0.529093
0.089000,0.535088
0.090000,0.535088
0.091000,0.536023
0.092000,0.540734
0.093000,0.546658
0.094000,0.544057
0.095000,0.546983
0.096000,0.544889
0.097000,0.543235
0.098000,0.546863
0.099000,0.552147
0.100000,0.551804
0.101000,0.555290
0.102000,0.563791
0.103000,0.566590
0.104000,0.581600
0.105000,0.614497
0.106000,0.619846
0.107000,0.619846
0.108000,0.629206
0.109000,0.628300
0.110000,0.630480
0.111000,0.642209
0.112000,0.647455
0.113000,0.652355
0.114000,0.664040
0.115000,0.661445
0.116000,0.661445
0.117000,0.665305
0.118000,0.665305
0.119000,0.667253
0.120000,0.669887
0.121000,0.676511
0.122000,0.689256
0.123000,0.693947
0.124000,0.696854
0.125000,0.696854
0.126000,0.701854
0.127000,0.701854
0.128000,0.703646
0.129000,0.703646
0.130000,0.703646
0.131000,0.703193
0.132000,0.700004
0.133000,0.700004
0.134000,0.704994
0.135000,0.710270
0.136000,0.716223
0.137000,0.716975
0.138000,0.727057
0.139000,0.727057
0.140000,0.728685
0.141000,0.728953
0.142000,0.726395
0.143000,0.726395
0.144000,0.729366
0.145000,0.731931
0.146000,0.731663
0.147000,0.731371
0.148000,0.731371
0.149000,0.728799
0.150000,0.728531
0.151000,0.736885
0.152000,0.742278
0.153000,0.742542
0.154000,0.742542
0.155000,0.745460
0.156000,0.745460
0.157000,0.745460
0.158000,0.751253
0.159000,0.751206
0.160000,0.751192
0.161000,0.751511
0.162000,0.751511
0.163000,0.757313
0.164000,0.760159
0.165000,0.760159
0.166000,0.762800
0.167000,0.762800
0.168000,0.768801
0.169000,0.768801
0.170000,0.771441
0.171000,0.774076
0.172000,0.774076
0.173000,0.774076
0.174000,0.776933
0.175000,0.773602
0.176000,0.779377
0.177000,0.779377
0.178000,0.779377
0.179000,0.779377
0.180000,0.779704
0.181000,0.782349
0.182000,0.788090
0.183000,0.790382
0.184000,0.784666
0.185000,0.787610
0.186000,0.787848
0.187000,0.793348
0.188000,0.793348
0.189000,0.793348
0.190000,0.793088
0.191000,0.793088
0.192000,0.793088
0.193000,0.795966
0.194000,0.802073
0.195000,0.802073
0.196000,0.804773
0.197000,0.804773
0.198000,0.808136
0.199000,0.808136
0.200000,0.810764
0.201000,0.810764
0.202000,0.805550
0.203000,0.805154
0.204000,0.805485
0.205000,0.805387
0.206000,0.802697
0.207000,0.802697
0.208000,0.802697
0.209000,0.805387
0.210000,0.810761
0.211000,0.810761
0.212000,0.813447
0.213000,0.816320
0.214000,0.816665
0.215000,0.819355
0.216000,0.822646
0.217000,0.822646
0.218000,0.825355
0.219000,0.825355
0.220000,0.825355
0.221000,0.825456
0.222000,0.831162
0.223000,0.834431
0.224000,0.834431
0.225000,0.831508
0.226000,0.828239
0.227000,0.828239
0.228000,0.834728
0.229000,0.834728
0.230000,0.834728
0.231000,0.840254
0.232000,0.843020
0.233000,0.843020
0.234000,0.843020
0.235000,0.843020
0.236000,0.845943
0.237000,0.845789
0.238000,0.845789
0.239000,0.845789
0.240000,0.845789
0.241000,0.845789
0.242000,0.842869
0.243000,0.839946
0.244000,0.839946
0.245000,0.839946
0.246000,0.839946
0.247000,0.839946
0.248000,0.842717
0.249000,0.842717
0.250000,0.842717
0.251000,0.842717
0.252000,0.839496
0.253000,0.839496
0.254000,0.839496
0.255000,0.839496
0.256000,0.839405
0.257000,0.842653
0.258000,0.842653
0.259000,0.842653
0.260000,0.842653
0.261000,0.839851
0.262000,0.839851
0.263000,0.839851
0.264000,0.839851
0.265000,0.837088
0.266000,0.837088
0.267000,0.834294
0.268000,0.834294
0.269000,0.834294
0.270000,0.834294
0.271000,0.834294
0.272000,0.834294
0.273000,0.834294
0.274000,0.834294
0.275000,0.834294
0.276000,0.834294
0.277000,0.834294
0.278000,0.834294
0.279000,0.834294
0.280000,0.834294
0.281000,0.834294
0.282000,0.834294
0.283000,0.831502
0.284000,0.828529
0.285000,0.828529
0.286000,0.828529
0.287000,0.828529
0.288000,0.828529
0.289000,0.825544
0.290000,0.825544
0.291000,0.825544
0.292000,0.825544
0.293000,0.825544
0.294000,0.825544
0.295000,0.825544
0.296000,0.825544
0.297000,0.825544
0.298000,0.825544
0.299000,0.825766
0.300000,0.825766
0.301000,0.825766
0.302000,0.828553
0.303000,0.825581
0.304000,0.825581
0.305000,0.825374
0.306000,0.822600
0.307000,0.822600
0.308000,0.822600
0.309000,0.822600
0.310000,0.822600
0.311000,0.822600
0.312000,0.822600
0.313000,0.822600
0.314000,0.819601
0.315000,0.819601
0.316000,0.819601
0.317000,0.816583
0.318000,0.819601
0.319000,0.816829
0.320000,0.819828
0.321000,0.819828
0.322000,0.819828
0.323000,0.819828
0.324000,0.819828
0.325000,0.819828
0.326000,0.819828
0.327000,0.819828
0.328000,0.819828
0.329000,0.819828
0.330000,0.819828
0.331000,0.819828
0.332000,0.816829
0.333000,0.816829
0.334000,0.816829
0.335000,0.816829
0.336000,0.819828
0.337000,0.819828
0.338000,0.819828
0.339000,0.819828
0.340000,0.822600
0.341000,0.825584
0.342000,0.825584
0.343000,0.825584
0.344000,0.825584
0.345000,0.825584
0.346000,0.825584
0.347000,0.820048
0.348000,0.820048
0.349000,0.820048
0.350000,0.820048
0.351000,0.820048
0.352000,0.820048
0.353000,0.820048
0.354000,0.820048
0.355000,0.820048
0.356000,0.817064
0.357000,0.817064
0.358000,0.817064
0.359000,0.817064
0.360000,0.817064
0.361000,0.817064
0.362000,0.817064
0.363000,0.817064
0.364000,0.817064
0.365000,0.817064
0.366000,0.814302
0.367000,0.814302
0.368000,0.814302
0.369000,0.814302
0.370000,0.814302
0.371000,0.814302
0.372000,0.814302
0.373000,0.814302
0.374000,0.814302
0.375000,0.814302
0.376000,0.814302
0.377000,0.814302
0.378000,0.811303
0.379000,0.814302
0.380000,0.814302
0.381000,0.808541
0.382000,0.808541
0.383000,0.808541
0.384000,0.808541
0.385000,0.808541
0.386000,0.808541
0.387000,0.802375
0.388000,0.802375
0.389000,0.802375
0.390000,0.802375
0.391000,0.802375
0.392000,0.802375
0.393000,0.802375
0.394000,0.802375
0.395000,0.802375
0.396000,0.802318
0.397000,0.802318
0.398000,0.802318
0.399000,0.802318
0.400000,0.799196
0.401000,0.799196
0.402000,0.801912
0.403000,0.801912
0.404000,0.801912
0.405000,0.801912
0.406000,0.801912
0.407000,0.801912
0.408000,0.801912
0.409000,0.801912
0.410000,0.801912
0.411000,0.802176
