n: 1, alpha: 0.001, cv-acc: 96%
n: 1, alpha: 1.0E-6, cv-acc: 96%
n: 1, alpha: 1.0E-7, cv-acc: 96%
n: 1, alpha: 0.01, cv-acc: 95%
n: 1, alpha: 0.1, cv-acc: 95%
n: 1, alpha: 1.0, cv-acc: 91%
n: 1, alpha: 1.0E-5, cv-acc: 96%
n: 1, alpha: 1.0E-4, cv-acc: 96%
n: 1, alpha: 1.0E-8, cv-acc: 96%
n: 1, alpha: 1.0E-9, cv-acc: 97%
n: 2, alpha: 0.01, cv-acc: 93%
n: 2, alpha: 1.0, cv-acc: 78%
n: 2, alpha: 0.1, cv-acc: 90%
n: 2, alpha: 1.0E-4, cv-acc: 95%
n: 2, alpha: 0.001, cv-acc: 94%
n: 2, alpha: 1.0E-5, cv-acc: 96%
n: 2, alpha: 1.0E-6, cv-acc: 96%
n: 2, alpha: 1.0E-7, cv-acc: 97%
n: 2, alpha: 1.0E-8, cv-acc: 97%
n: 2, alpha: 1.0E-9, cv-acc: 97%
n: 3, alpha: 1.0, cv-acc: 69%
n: 3, alpha: 0.1, cv-acc: 84%
n: 3, alpha: 0.01, cv-acc: 88%
n: 3, alpha: 0.001, cv-acc: 90%
n: 3, alpha: 1.0E-4, cv-acc: 92%
n: 3, alpha: 1.0E-5, cv-acc: 93%
n: 3, alpha: 1.0E-6, cv-acc: 93%
n: 3, alpha: 1.0E-7, cv-acc: 94%
n: 3, alpha: 1.0E-8, cv-acc: 95%
n: 3, alpha: 1.0E-9, cv-acc: 95%
