File: 01, depth: 3, acc: 0.99974, crit: entropy, split: best
File: 02, depth: 9, acc: 0.70153, crit: entropy, split: best
File: 03, depth: 1, acc: 1.00000, crit: gini, split: best
File: 04, depth: 5, acc: 0.99513, crit: entropy, split: best
File: 05, depth: 1, acc: 0.99567, crit: gini, split: best
File: 06, depth: 3, acc: 0.99890, crit: entropy, split: best
File: 07, depth: 3, acc: 0.99674, crit: entropy, split: best
File: 08, depth: 2, acc: 0.99792, crit: entropy, split: best
File: 09, depth: 5, acc: 0.84706, crit: entropy, split: best
File: 10, depth: 4, acc: 0.99799, crit: entropy, split: best
File: 11, depth: 1, acc: 0.99920, crit: gini, split: best
File: 12, depth: 9, acc: 0.87903, crit: entropy, split: best
File: 13, depth: 7, acc: 0.65872, crit: entropy, split: best
File: 14, depth: 5, acc: 0.99035, crit: entropy, split: best
File: 15, depth: 1, acc: 1.00000, crit: gini, split: best
File: 16, depth: 1, acc: 1.00000, crit: gini, split: best
File: 17, depth: 7, acc: 0.84701, crit: entropy, split: best
File: 18, depth: 5, acc: 0.94267, crit: entropy, split: best
File: 19, depth: 7, acc: 0.83046, crit: entropy, split: best
File: 20, depth: 7, acc: 0.97029, crit: entropy, split: best
File: 21, depth: 9, acc: 0.81230, crit: entropy, split: best
