File: 01, acc_train: 1.00000, acc_test: 0.99923
File: 02, acc_train: 1.00000, acc_test: 0.55293
File: 03, acc_train: 1.00000, acc_test: 0.99952
File: 04, acc_train: 1.00000, acc_test: 0.96139
File: 05, acc_train: 1.00000, acc_test: 0.99784
File: 06, acc_train: 1.00000, acc_test: 0.99614
File: 07, acc_train: 1.00000, acc_test: 0.94698
File: 08, acc_train: 1.00000, acc_test: 0.97089
File: 09, acc_train: 1.00000, acc_test: 0.77059
File: 10, acc_train: 1.00000, acc_test: 0.99799
File: 11, acc_train: 0.99960, acc_test: 0.99920
File: 12, acc_train: 1.00000, acc_test: 0.90991
File: 13, acc_train: 1.00000, acc_test: 0.49174
File: 14, acc_train: 1.00000, acc_test: 0.95176
File: 15, acc_train: 0.99940, acc_test: 1.00000
File: 16, acc_train: 1.00000, acc_test: 0.99969
File: 17, acc_train: 1.00000, acc_test: 0.62088
File: 18, acc_train: 1.00000, acc_test: 0.82204
File: 19, acc_train: 1.00000, acc_test: 0.80345
File: 20, acc_train: 1.00000, acc_test: 0.98415
File: 21, acc_train: 1.00000, acc_test: 0.82118
